danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,7wBJfHzpfI3032CSD7CE2m,270715,4,audio_features,spotify:track:7wBJfHzpfI3032CSD7CE2m,https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m,https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m
0.671,0.639,11,-6.018,0,0.349,0.0816,2.07e-05,0.116,0.303,140.082,3uIDAiJjKQNiixu9YNgrUX,219481,4,audio_features,spotify:track:3uIDAiJjKQNiixu9YNgrUX,https://api.spotify.com/v1/audio-analysis/3uIDAiJjKQNiixu9YNgrUX,https://api.spotify.com/v1/tracks/3uIDAiJjKQNiixu9YNgrUX
0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,3ssX20QT5c3nA9wk78V1LQ,278387,4,audio_features,spotify:track:3ssX20QT5c3nA9wk78V1LQ,https://api.spotify.com/v1/audio-analysis/3ssX20QT5c3nA9wk78V1LQ,https://api.spotify.com/v1/tracks/3ssX20QT5c3nA9wk78V1LQ
0.633,0.853,8,-6.491,1,0.389,0.302,0,0.152,0.544,130.018,7MDKvOzNgAJ3KMCtaP2UOa,211965,4,audio_features,spotify:track:7MDKvOzNgAJ3KMCtaP2UOa,https://api.spotify.com/v1/audio-analysis/7MDKvOzNgAJ3KMCtaP2UOa,https://api.spotify.com/v1/tracks/7MDKvOzNgAJ3KMCtaP2UOa
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587,4,audio_features,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep
0.716,0.68,5,-4.721,0,0.309,0.241,0,0.202,0.475,140.417,1Iv4wC88uxeAF7SmQQGx3X,207366,4,audio_features,spotify:track:1Iv4wC88uxeAF7SmQQGx3X,https://api.spotify.com/v1/audio-analysis/1Iv4wC88uxeAF7SmQQGx3X,https://api.spotify.com/v1/tracks/1Iv4wC88uxeAF7SmQQGx3X
0.706,0.485,8,-9.671,1,0.331,0.337,0,0.122,0.144,115.414,21yRtB6B8EMounImAfHRCP,205093,4,audio_features,spotify:track:21yRtB6B8EMounImAfHRCP,https://api.spotify.com/v1/audio-analysis/21yRtB6B8EMounImAfHRCP,https://api.spotify.com/v1/tracks/21yRtB6B8EMounImAfHRCP
0.879,0.882,0,-5.47,0,0.239,0.34,1.58e-05,0.135,0.837,130.033,6l8McJSn8BgCTTewysSusR,194771,4,audio_features,spotify:track:6l8McJSn8BgCTTewysSusR,https://api.spotify.com/v1/audio-analysis/6l8McJSn8BgCTTewysSusR,https://api.spotify.com/v1/tracks/6l8McJSn8BgCTTewysSusR
0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,4IO8X9W69dIQe0EC5ALXhq,254723,4,audio_features,spotify:track:4IO8X9W69dIQe0EC5ALXhq,https://api.spotify.com/v1/audio-analysis/4IO8X9W69dIQe0EC5ALXhq,https://api.spotify.com/v1/tracks/4IO8X9W69dIQe0EC5ALXhq
0.513,0.827,1,-3.958,0,0.309,0.0287,0,0.181,0.378,115.029,72DuDVv06ZtKDceAlq40f2,355667,5,audio_features,spotify:track:72DuDVv06ZtKDceAlq40f2,https://api.spotify.com/v1/audio-analysis/72DuDVv06ZtKDceAlq40f2,https://api.spotify.com/v1/tracks/72DuDVv06ZtKDceAlq40f2
