danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.596,0.851,5,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,2ACOWPLUe4A4KuQ5ioD2od,204013,4,audio_features,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/audio-analysis/2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/tracks/2ACOWPLUe4A4KuQ5ioD2od
0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,1vYh9x8UmFTLbXiizk9Qc5,217533,4,audio_features,spotify:track:1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/audio-analysis/1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/tracks/1vYh9x8UmFTLbXiizk9Qc5
0.339,0.67,2,-5.995,1,0.0457,0.0303,0.0369,0.225,0.383,114.903,30o4hMJ6OC9uv954GT6OZU,220867,4,audio_features,spotify:track:30o4hMJ6OC9uv954GT6OZU,https://api.spotify.com/v1/audio-analysis/30o4hMJ6OC9uv954GT6OZU,https://api.spotify.com/v1/tracks/30o4hMJ6OC9uv954GT6OZU
0.648,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.02,5WfhXulggG0c6WoVeMPA8N,219200,4,audio_features,spotify:track:5WfhXulggG0c6WoVeMPA8N,https://api.spotify.com/v1/audio-analysis/5WfhXulggG0c6WoVeMPA8N,https://api.spotify.com/v1/tracks/5WfhXulggG0c6WoVeMPA8N
0.512,0.803,2,-5.135,1,0.0531,0.00362,0.000583,0.116,0.591,124.162,294vBlXfZYspeI29SXZaON,249693,4,audio_features,spotify:track:294vBlXfZYspeI29SXZaON,https://api.spotify.com/v1/audio-analysis/294vBlXfZYspeI29SXZaON,https://api.spotify.com/v1/tracks/294vBlXfZYspeI29SXZaON
0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,2ekn2ttSfGqwhhate0LSR0,209320,4,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0
0.523,0.748,1,-2.165,1,0.0395,0.226,0,0.27,0.329,84.954,365hbjh0wlAIGOfRW5hdZc,187776,4,audio_features,spotify:track:365hbjh0wlAIGOfRW5hdZc,https://api.spotify.com/v1/audio-analysis/365hbjh0wlAIGOfRW5hdZc,https://api.spotify.com/v1/tracks/365hbjh0wlAIGOfRW5hdZc
0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4iLqG9SeJSnt0cSPICSjxv,211475,4,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv
0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,79cuOz3SPQTuFrp8WgftAu,199440,4,audio_features,spotify:track:79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu
0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,33IOhptvC2Qoy2UhjiHXLV,195000,4,audio_features,spotify:track:33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV
0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,2IiNA0s5eQBSjwK4iNeUvW,244507,4,audio_features,spotify:track:2IiNA0s5eQBSjwK4iNeUvW,https://api.spotify.com/v1/audio-analysis/2IiNA0s5eQBSjwK4iNeUvW,https://api.spotify.com/v1/tracks/2IiNA0s5eQBSjwK4iNeUvW
0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,2aibwv5hGXSgw7Yru8IYTO,334667,4,audio_features,spotify:track:2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/audio-analysis/2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/tracks/2aibwv5hGXSgw7Yru8IYTO
0.868,0.7,7,-6.408,0,0.1,0.0933,0.00685,0.0815,0.458,121.988,7b9WVKS9dt9OyRFAbGTP8P,194754,4,audio_features,spotify:track:7b9WVKS9dt9OyRFAbGTP8P,https://api.spotify.com/v1/audio-analysis/7b9WVKS9dt9OyRFAbGTP8P,https://api.spotify.com/v1/tracks/7b9WVKS9dt9OyRFAbGTP8P
0.854,0.658,9,-6.932,0,0.17,0.154,0.00914,0.102,0.855,137.949,2TNaQWWTeTyig2wsr1BNaL,265667,4,audio_features,spotify:track:2TNaQWWTeTyig2wsr1BNaL,https://api.spotify.com/v1/audio-analysis/2TNaQWWTeTyig2wsr1BNaL,https://api.spotify.com/v1/tracks/2TNaQWWTeTyig2wsr1BNaL
0.85,0.482,1,-6.684,0,0.102,0.0246,0,0.387,0.217,100.957,6SPD3JwwRejBhCDiQAQ4he,229867,4,audio_features,spotify:track:6SPD3JwwRejBhCDiQAQ4he,https://api.spotify.com/v1/audio-analysis/6SPD3JwwRejBhCDiQAQ4he,https://api.spotify.com/v1/tracks/6SPD3JwwRejBhCDiQAQ4he
0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160,4,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253,4,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK
0.686,0.768,1,-8.433,1,0.45,0.214,0,0.159,0.742,88.521,1U3cpcozeXtwKR4LwV2GQH,164133,4,audio_features,spotify:track:1U3cpcozeXtwKR4LwV2GQH,https://api.spotify.com/v1/audio-analysis/1U3cpcozeXtwKR4LwV2GQH,https://api.spotify.com/v1/tracks/1U3cpcozeXtwKR4LwV2GQH
